"","coefTable.lmod0","coefTable.lmod1","coefTable.lmod2","CoefTable.lmod3","ranefTable.lmod3","CoefTable.lmod4","ranefTable.lmod4","coefTable.GEE","Final.coef.lmod3","Final.coef.lmod4"
"(Intercept)",0.351047029783844,2.75720451647063,2.79731261138893,0.00202384559455893,-0.650709289661779,0.0019832907290831,-0.647163736325445,0.351047029783841,-0.64868544406722,-0.645180445596362
"subject.no6",NA,-2.75720451647047,-2.79731261138876,0.00327764822510812,-0.64945548703123,0.00321205952807679,-0.645934967526451,NA,-0.646177838806122,-0.642722907998374
"subject.no7",NA,-1.45891264343919,-1.50773465249054,0.00808949039569162,-0.644643644860647,0.00805709722806081,-0.641089929826467,NA,-0.636554154464955,-0.633032832598406
"subject.no9",NA,-2.00630819068294,-2.16873166688894,0.0343421381776666,-0.618390997078672,0.0342086812878091,-0.614938345766719,NA,-0.584048858901005,-0.58072966447891
"subject.no10",NA,-0.502172120321405,-0.581498906163472,0.0100041610023202,-0.642728974254018,0.00997691759019426,-0.639170109464334,NA,-0.632724813251698,-0.629193191874139
"subject.no11",NA,-2.14499507441556,-2.15193306700788,0.0127661618361199,-0.639966973420218,0.0127378929389715,-0.636409134115556,NA,-0.627200811584098,-0.623671241176585
"subject.no13",NA,-2.75072650543742,-2.79083460035572,0.264426577791901,-0.388306557464438,0.278929206853713,-0.370217820200815,NA,-0.123879979672537,-0.0912886133471025
"subject.no14",NA,-2.43097922487984,-2.46816452027764,0.326978060723457,-0.325755074532882,0.326864852997553,-0.322282174056975,NA,0.00122298619057493,0.00458267894057751
"subject.no15",NA,-2.72947862924809,-2.76958672416638,0.749166275180262,0.0964331399239237,0.683235859036157,0.0340888319816288,NA,0.845599415104186,0.717324691017785
"subject.no17",NA,-2.74584144793683,-2.78594954285513,0.609894051872974,-0.0428390833833646,0.638177658429969,-0.0109693686245586,NA,0.567054968489609,0.627208289805411
"subject.no19",NA,-2.74855402600871,-2.78866212092701,1.0667848685769,0.414051733320561,1.07806278779037,0.428915760735839,NA,1.48083660189746,1.50697854852621
"subject.no20",NA,-1.68842252643311,-1.70077230909102,0.436092895087438,-0.2166402401689,0.406959305493228,-0.242187721561299,NA,0.219452654918539,0.164771583931929
"subject.no22",NA,-2.32100363360095,-2.40063470830194,1.2895616142361,0.636828478979757,1.27432670222045,0.625179675165923,NA,1.92639009321585,1.89950637738637
"subject.no24",NA,-2.49346406557291,-2.5087447766728,2.23369702954977,1.58096389429343,2.20716288983331,1.55801586277878,NA,3.8146609238432,3.76517875261209
"subject.no26",NA,-2.75720451647063,-2.79731261138892,2.7438922105949,2.09115907533856,2.77331020386762,2.12416317681309,NA,4.83505128593346,4.89747338068071
"logcd19",0.788443820440272,0.130557390579025,0.0838077345432827,0.134833377683657,NA,0.170472130070193,0,0.788443820440285,0.134833377683657,0.170472130070193
"subject.no6:logcd19",NA,NA,NA,NA,NA,0.170472130070193,0,NA,NA,0.170472130070193
"subject.no7:logcd19",NA,NA,0.0576854954058802,NA,NA,0.170472130070193,0,NA,NA,0.170472130070193
"subject.no9:logcd19",NA,NA,0.629180739656042,NA,NA,0.170472130070193,0,NA,NA,0.170472130070193
"subject.no10:logcd19",NA,NA,0.186671156742935,NA,NA,0.170472130070193,0,NA,NA,0.170472130070193
"subject.no11:logcd19",NA,NA,-0.0117998356641078,NA,NA,0.170472130070193,0,NA,NA,0.170472130070193
"subject.no13:logcd19",NA,NA,NA,NA,NA,0.0356394659073312,-0.134832664162861,NA,NA,-0.0991931982555302
"subject.no14:logcd19",NA,NA,-0.0586680533076364,NA,NA,0.138125343265821,-0.0323467868043716,NA,NA,0.10577855646145
"subject.no15:logcd19",NA,NA,NA,NA,NA,0.451357286737935,0.280885156667742,NA,NA,0.732242443405678
"subject.no17:logcd19",NA,NA,NA,NA,NA,0.0847678446734109,-0.0857042853967817,NA,NA,-0.000936440723370791
"subject.no19:logcd19",NA,NA,NA,NA,NA,0.0419245196251009,-0.128547610445092,NA,NA,-0.0866230908199909
"subject.no20:logcd19",NA,NA,-0.181308473208247,NA,NA,0.296147909485343,0.12567577941515,NA,NA,0.421823688900493
"subject.no22:logcd19",NA,NA,0.265084124742062,NA,NA,0.154171380361297,-0.0163007497088952,NA,NA,0.137870630652402
"subject.no24:logcd19",NA,NA,-0.122135341680078,NA,NA,0.231581315145076,0.0611091850748838,NA,NA,0.29269050021996
"subject.no26:logcd19",NA,NA,NA,NA,NA,0.100534105430432,-0.0699380246397612,NA,NA,0.0305960807906704
